name,latitude,longitude,subcategories/0,numberOfRooms,hotelClass,num_amenities,ceilhotelClass,energy_consumption,usable_area,cluster,color,area_to_energy_ratio,carbon_emission,efficiency
Ad Lib Bangkok,13.745243,100.55224,Hotel,58.0,4.0,88,4.0,176,2171,0,High Efficiency,12.34,382.1,12.34
Roof View Place,13.763316,100.501976,Hotel,30.0,2.0,20,2.0,84,852,1,High Efficiency,10.14,71.57,10.14
Villa Cha-Cha Banglumphu,13.760361,100.49741,Hotel,69.0,3.5,24,4.0,168,2254,0,High Efficiency,13.42,378.67,13.42
Samsen Sam Place,13.765503,100.49823,Bed and Breakfast,40.0,3.0,20,3.0,104,1446,0,High Efficiency,13.9,150.38,13.9
Baan Tuk Din Hotel,13.755403,100.5017,Bed and Breakfast,17.0,0.0,0,0.0,35,399,1,High Efficiency,11.4,13.96,11.4
Klean Residence Hotel,13.719946,100.49588,Hotel,68.0,3.0,14,3.0,149,2443,0,High Efficiency,16.4,364.01,16.4
Arawana Regency Park Sukhumvit,13.732117,100.56508,Hotel,119.0,0.0,44,0.0,262,2630,0,Low Efficiency,10.04,689.06,10.04
The Royal ThaTien Village,13.744626,100.49215,Specialty Lodging,5.0,3.0,17,3.0,19,160,1,High Efficiency,8.42,3.04,8.42
Cacha Art Hotel,13.754884,100.52672,Bed and Breakfast,35.0,3.0,32,3.0,90,1062,1,High Efficiency,11.8,95.58,11.8
PLOY Hostel,13.762681,100.50173,Specialty Lodging,4.0,2.0,44,2.0,31,118,1,High Efficiency,3.81,3.66,3.81
V20 Boutique Hotel,13.804775,100.56447,Specialty Lodging,29.0,4.0,39,4.0,82,1006,1,High Efficiency,12.27,82.49,12.27
Nine Design Place,13.748111,100.527214,Specialty Lodging,9.0,3.0,20,3.0,31,299,1,High Efficiency,9.65,9.27,9.65
Varmtel,13.72229,100.5101,Bed and Breakfast,14.0,3.0,28,3.0,45,463,1,High Efficiency,10.29,20.84,10.29
OYO 140 The Krungkasem Srikrung Hotel,13.73889,100.51555,Hotel,129.0,2.0,41,2.0,313,3844,2,Low Efficiency,12.28,1203.17,12.28
Uncle Loy's Boutique House,13.753935,100.48438,Specialty Lodging,6.0,0.0,16,0.0,22,136,1,High Efficiency,6.18,2.99,6.18
Siam Piman Hotel,13.796828,100.71474,Hotel,44.0,3.0,27,3.0,102,1508,0,High Efficiency,14.78,153.82,14.78
White Ivory Bed & Breakfast,13.718147,100.50095,Bed and Breakfast,12.0,2.5,46,3.0,52,389,1,High Efficiency,7.48,20.23,7.48
Dynasty Inn,13.740984,100.55325,Hotel,50.0,3.0,29,3.0,131,1594,0,High Efficiency,12.17,208.81,12.17
Volve Hotel Bangkok,13.726781,100.57806,Hotel,28.0,3.5,27,4.0,71,1042,1,High Efficiency,14.68,73.98,14.68
Mam's House,13.762862,100.49861,Hotel,15.0,0.0,7,0.0,40,364,1,High Efficiency,9.1,14.56,9.1
Chakrabongse Villas & Residences,13.743526,100.49277,Specialty Lodging,4.0,5.0,26,5.0,23,175,1,High Efficiency,7.61,4.03,7.61
CHANN Bangkok Noi,13.761359,100.48708,Bed and Breakfast,22.0,3.5,53,4.0,75,823,1,High Efficiency,10.97,61.72,10.97
Sleeplab Hostel,13.756289,100.53352,Specialty Lodging,26.0,2.0,33,2.0,73,777,1,High Efficiency,10.64,56.72,10.64
iCheck Inn Nana,13.741417,100.55581,Bed and Breakfast,47.0,3.0,27,3.0,126,1548,0,High Efficiency,12.29,195.05,12.29
Amber Boutique Silom,13.725964,100.52475,Bed and Breakfast,19.0,3.0,44,3.0,64,586,1,High Efficiency,9.16,37.5,9.16
Back Home Backpackers,13.76314,100.49944,Specialty Lodging,2.0,2.0,24,2.0,17,62,1,High Efficiency,3.65,1.05,3.65
Parinda Hotel,13.735749,100.551636,Hotel,79.0,4.0,32,4.0,193,2986,2,High Efficiency,15.47,576.3,15.47
Zensation The Residence,13.713953,100.52773,Bed and Breakfast,27.0,3.0,49,3.0,87,880,1,High Efficiency,10.11,76.56,10.11
SSIP Boutique Dhevej Bangkok,13.770101,100.50534,Bed and Breakfast,12.0,3.0,44,3.0,52,371,1,High Efficiency,7.13,19.29,7.13
Malaysia Hotel,13.721964,100.54415,Hotel,96.0,2.0,40,2.0,216,2626,0,Low Efficiency,12.16,567.22,12.16
1905 Heritage Corner,13.751717,100.4971,Bed and Breakfast,3.0,3.5,52,4.0,35,105,1,High Efficiency,3.0,3.68,3.0
Ideal Hotel Pratunam,13.751865,100.538345,Bed and Breakfast,24.0,3.0,25,3.0,71,767,1,High Efficiency,10.8,54.46,10.8
Baan Noppawong,13.7563,100.5005,Bed and Breakfast,7.0,3.0,26,3.0,32,246,1,High Efficiency,7.69,7.87,7.69
Siri Heritage Bangkok Hotel,13.755178,100.496574,Hotel,46.0,3.0,11,3.0,110,1497,0,High Efficiency,13.61,164.67,13.61
The Inn Saladaeng,13.72734,100.53662,Hotel,38.0,3.0,27,3.0,93,1300,0,High Efficiency,13.98,120.9,13.98
The Cube Hostel,13.727766,100.53646,Specialty Lodging,7.0,2.0,21,2.0,26,227,1,High Efficiency,8.73,5.9,8.73
Cloud on Saladaeng,13.726322,100.53787,Hotel,28.0,2.0,25,2.0,76,860,1,High Efficiency,11.32,65.36,11.32
Tropical Summer Cafe&Hostel,13.716976,100.52999,Hotel,6.0,2.0,64,2.0,44,174,1,High Efficiency,3.95,7.66,3.95
Prime Hotel Central Station Bangkok,13.737569,100.51532,Hotel,150.0,0.0,46,0.0,346,3002,2,Low Efficiency,8.68,1038.69,8.68
Nappark Hostel At Khao San,13.760957,100.497375,Specialty Lodging,1.0,2.0,28,2.0,16,28,1,High Efficiency,1.75,0.45,1.75
The Lol Elephant Hostel,13.760272,100.501564,Specialty Lodging,8.0,2.0,14,2.0,25,229,1,High Efficiency,9.16,5.72,9.16
Mybed Sathorn,13.717372,100.53959,Hotel,42.0,2.0,20,2.0,99,1214,0,High Efficiency,12.26,120.19,12.26
Bourbon Street Boutique Hotel,13.722341,100.58458,Bed and Breakfast,24.0,3.0,36,3.0,70,764,1,High Efficiency,10.91,53.48,10.91
Ratchadamnoen Residence,13.757128,100.50291,Bed and Breakfast,12.0,3.0,33,3.0,46,399,1,High Efficiency,8.67,18.35,8.67
Kessara Boutique Historic Hotel,13.725166,100.53133,Bed and Breakfast,7.0,0.0,29,0.0,30,136,1,High Efficiency,4.53,4.08,4.53
Let's Zzz bangkok,13.764894,100.49734,Bed and Breakfast,32.0,2.5,32,3.0,83,1030,1,High Efficiency,12.41,85.49,12.41
Refill Now!,13.734879,100.60085,Specialty Lodging,40.0,3.0,32,3.0,108,1299,0,High Efficiency,12.03,140.29,12.03
Suneta Hostel Khaosan,13.760603,100.49897,Specialty Lodging,3.0,2.0,23,2.0,18,84,1,High Efficiency,4.67,1.51,4.67
Victory Park Hostel,13.76286,100.5408,Specialty Lodging,5.0,1.5,25,2.0,24,158,1,High Efficiency,6.58,3.79,6.58
Loog Choob Homestay,13.758538,100.51496,Bed and Breakfast,4.0,3.0,26,3.0,23,125,1,High Efficiency,5.43,2.88,5.43
Sakura Sky Residence,13.734697,100.56762,Hotel,64.0,3.0,22,3.0,152,2117,0,High Efficiency,13.93,321.78,13.93
